id,country,state,neighbourhood_cleansed,property_type,square_meters,price,room_type,bathrooms,bedrooms,beds
10710807,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,19.86,"$7,547.45",Entire home/apt,1,0,2
8800936,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,18.85,"$3,965.59",Private room,1,1,1
4726947,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,19.45,"$2,432.43",Private room,1,1,1
5863664,Australia,New South Wales,BALLINA SHIRE COUNCIL,House,18.14,"$2,465.41",Private room,1.5,1,1
28866210,Australia,NSW,BALLINA SHIRE COUNCIL,House,18,"$3,191.74",Private room,1,1,1
17372561,Australia,NSW,BALLINA SHIRE COUNCIL,House,18.45,"$3,733.36",Private room,1.5,1,1
23966274,Australia,NSW,BALLINA SHIRE COUNCIL,House,17.28,"$2,410.98",Private room,1,1,1
19334835,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,20.04,$645.77,Entire home/apt,1,1,1
31323372,Australia,NSW,BALLINA SHIRE COUNCIL,House,18.87,"$2,741.44",Private room,1,1,1
23945043,Australia,NSW,BALLINA SHIRE COUNCIL,House,17.11,"$4,229.63",Private room,1,1,1
13520887,Australia,NSW,BALLINA SHIRE COUNCIL,House,17.36,"$2,146.82",Entire home/apt,1,2,2
10636849,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,18.44,"$3,577.03",Entire home/apt,1,2,3
20488773,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,17.82,"$2,868.84",Private room,1.5,1,1
17332087,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,16.97,"$2,342.79",Private room,1.5,1,1
33721765,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,18.11,"$2,310.08",Entire home/apt,1,0,1
18125752,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,19.93,"$1,604.16",Entire home/apt,1,1,1
21505241,Australia,NSW,BALLINA SHIRE COUNCIL,House,17.14,"$2,993.74",Private room,1,1,1
20196511,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,16.66,"$3,429.05",Private room,1.5,1,1
794579,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,16.85,"$3,170.45",Private room,1,1,1
798820,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,19.18,"$3,075.23",Private room,1,1,1
20193547,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,19.34,"$3,377.08",Private room,1.5,1,2
31361359,Australia,NSW,BALLINA SHIRE COUNCIL,House,17.44,"$3,629.94",Private room,1,1,1
18048611,Australia,NSW,BALLINA SHIRE COUNCIL,House,19.01,"$2,163.93",Private room,1.5,1,1
7679991,Australia,NSW,BALLINA SHIRE COUNCIL,House,19.63,"$3,804.04",Private room,1,1,1
26675428,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,20.8,"$4,644.36",Entire home/apt,1.5,2,2
30018658,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,19.95,"$3,984.49",Entire home/apt,1,1,1
2603464,Australia,New South Wales,BALLINA SHIRE COUNCIL,Guest suite,19.84,"$2,708.09",Entire home/apt,1,0,1
6227098,Australia,NSW,BALLINA SHIRE COUNCIL,House,20.45,"$3,290.67",Private room,1,1,1
10840058,Australia,NSW,BALLINA SHIRE COUNCIL,House,20.75,"$10,001.02",Entire home/apt,1,1,1
4815324,Australia,New South Wales,BALLINA SHIRE COUNCIL,House,20.01,"$2,137.23",Private room,1,1,2
32073077,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,18.98,"$1,034.99",Private room,1,1,1
15743731,Australia,NSW,BALLINA SHIRE COUNCIL,House,20.76,"$3,201.12",Entire home/apt,2,3,3
27836316,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,19.4,"$1,077.61",Entire home/apt,1,1,1
14062402,Australia,NSW,BALLINA SHIRE COUNCIL,House,17.97,"$2,697.79",Private room,1.5,1,1
27318302,Australia,NSW,BALLINA SHIRE COUNCIL,House,21.22,"$4,633.26",Private room,1,1,1
30700187,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,21.56,"$2,753.04",Entire home/apt,1,1,1
16604285,Australia,NSW,BALLINA SHIRE COUNCIL,House,18.78,"$3,706.80",Private room,1,1,1
992838,Australia,NSW,BALLINA SHIRE COUNCIL,House,19.61,"$1,933.10",Private room,1,1,1
21937115,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,21.75,"$2,603.25",Entire home/apt,1,1,1
17387927,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,19.68,"$4,334.92",Entire home/apt,1,2,2
24756584,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,19.5,$409.50,Entire home/apt,1,1,1
2620938,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,20.66,"$1,970.99",Entire home/apt,1,2,2
27892120,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,18.85,"$2,870.96",Entire home/apt,1,0,1
21462083,Australia,NSW,BALLINA SHIRE COUNCIL,House,22.48,"$4,762.51",Entire home/apt,1,1,1
7099847,Australia,New South Wales,BALLINA SHIRE COUNCIL,House,21.29,"$2,275.87",Private room,1,1,2
16705398,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,18.39,"$1,895.79",Entire home/apt,1,1,1
18160182,Australia,NSW,BALLINA SHIRE COUNCIL,House,19.97,"$3,214.45",Private room,1,1,2
33076034,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,18.11,"$1,507.84",Private room,1,2,2
7351253,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,20.2,"$2,375.38",Entire home/apt,2,3,4
17174356,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,20.02,"$4,327.99",Entire home/apt,1,0,1
14360381,Australia,NSW,BALLINA SHIRE COUNCIL,House,20.21,"$2,308.29",Private room,1,3,6
21700820,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,21.58,"$1,760.38",Entire home/apt,1,2,4
29597687,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,20.04,"$2,943.50",Entire home/apt,1,0,1
14942821,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,20.53,"$3,363.34",Entire home/apt,1,2,5
33596750,Australia,NSW,BALLINA SHIRE COUNCIL,House,20.18,"$3,420.45",Private room,1.5,1,1
15747657,Australia,NSW,BALLINA SHIRE COUNCIL,House,18.3,"$2,964.72",Private room,1,1,2
8978428,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,20.35,"$2,865.48",Entire home/apt,1,1,4
23090322,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,19.27,"$2,282.55",Entire home/apt,1,1,1
14062545,Australia,NSW,BALLINA SHIRE COUNCIL,House,21.15,"$1,946.25",Entire home/apt,1.5,2,3
1107994,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,20.44,"$3,674.31",Entire home/apt,1,1,1
31105678,Australia,NSW,BALLINA SHIRE COUNCIL,Camper/RV,19.11,"$2,348.00",Private room,1,1,3
21884866,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,21.63,"$2,184.62",Entire home/apt,1,1,1
17725937,Australia,NSW,BALLINA SHIRE COUNCIL,House,19.9,"$2,950.14",Entire home/apt,1,1,1
2461879,Australia,New South Wales,BALLINA SHIRE COUNCIL,House,19.55,"$2,547.28",Private room,1,1,1
15749477,Australia,NSW,BALLINA SHIRE COUNCIL,House,21.04,"$1,277.29",Private room,1,1,1
20972306,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,20.58,"$2,583.00",Entire home/apt,1,0,1
21625127,Australia,NSW,BALLINA SHIRE COUNCIL,House,21.88,"$2,197.49",Entire home/apt,1,1,2
25059196,Australia,NSW,BALLINA SHIRE COUNCIL,House,21.1,"$3,342.26",Entire home/apt,1,1,2
27968931,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,19.65,"$2,825.71",Entire home/apt,1,1,1
22216216,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,20.47,"$3,801.06",Entire home/apt,1,1,1
20875516,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,21.97,"$2,967.73",Entire home/apt,1,1,3
4440725,Australia,NSW,BALLINA SHIRE COUNCIL,House,22.12,"$2,828.51",Private room,1,1,1
30567735,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,22.63,"$3,717.12",Entire home/apt,1,1,2
16679347,Australia,New South Wales,BALLINA SHIRE COUNCIL,Guest suite,22.66,"$1,551.74",Entire home/apt,1,2,2
22193970,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,20.36,"$3,067.27",Entire home/apt,1,1,1
17835642,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,21.34,"$4,116.90",Entire home/apt,1,0,1
16844871,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,19.92,"$1,714.08",Entire home/apt,1,0,1
22069495,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,19.17,"$4,139.56",Entire home/apt,1,1,1
31063205,Australia,NSW,BALLINA SHIRE COUNCIL,House,22.31,"$4,744.61",Private room,1,1,1
430744,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,21.74,"$2,842.38",Entire home/apt,1,1,1
28969828,Australia,NSW,BALLINA SHIRE COUNCIL,House,21.88,"$3,537.54",Private room,1,2,2
33404353,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,22.21,"$3,061.57",Entire home/apt,1,1,1
1127830,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,22.65,"$2,810.73",Entire home/apt,1,1,1
13128022,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,22.99,"$2,949.14",Entire home/apt,1,2,3
16616675,Australia,NSW,BALLINA SHIRE COUNCIL,House,22.16,"$4,150.97",Entire home/apt,1,1,2
23843472,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,20.1,"$3,065.60",Entire home/apt,1,0,1
18923401,Australia,NSW,BALLINA SHIRE COUNCIL,House,20.73,"$2,854.43",Private room,1,1,1
19255867,Australia,NSW,BALLINA SHIRE COUNCIL,House,19.5,"$3,365.54",Private room,1,1,2
34095501,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,23.66,"$3,529.90",Entire home/apt,1,2,2
27492998,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,23.95,"$4,260.55",Entire home/apt,1,2,2
24525724,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,22.15,"$4,047.87",Entire home/apt,1.5,2,5
23880255,Australia,NSW,BALLINA SHIRE COUNCIL,House,23.25,"$2,789.76",Private room,1,1,1
16946599,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,20.34,"$3,508.33",Entire home/apt,1,1,1
16409173,Australia,NSW,BALLINA SHIRE COUNCIL,House,20.85,"$3,348.40",Entire home/apt,1.5,2,4
24357472,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,23.61,"$3,912.43",Entire home/apt,1.5,2,2
7517679,Australia,NSW,BALLINA SHIRE COUNCIL,House,20.94,"$3,095.62",Entire home/apt,1,2,3
28287001,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,20.83,"$2,383.52",Entire home/apt,1,0,1
19037407,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,22.25,"$2,197.14",Private room,1,2,4
19061805,Australia,NSW,BALLINA SHIRE COUNCIL,House,21.24,"$1,867.65",Entire home/apt,1,2,3
10436696,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,26.38,"$3,921.00",Entire home/apt,1,1,1
20727773,Australia,NSW,BALLINA SHIRE COUNCIL,House,21.36,"$3,947.86",Entire home/apt,2,2,3
1557937,Australia,NSW,BALLINA SHIRE COUNCIL,House,21.74,"$3,767.84",Entire home/apt,2,3,3
19892782,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,24.29,"$3,262.38",Entire home/apt,1,1,1
15807139,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,20.14,"$3,734.04",Entire home/apt,1,1,1
33948547,Australia,NSW,BALLINA SHIRE COUNCIL,House,21.77,"$3,437.00",Entire home/apt,1,1,1
21791354,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,24.11,"$2,922.20",Entire home/apt,1,1,1
10527125,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,25.42,"$1,348.05",Entire home/apt,1,1,1
8536625,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,20.66,"$3,148.61",Entire home/apt,1,1,1
11743458,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,24.8,"$3,461.66",Entire home/apt,2,2,3
23834424,Australia,NSW,BALLINA SHIRE COUNCIL,House,25.16,"$3,197.09",Private room,2,1,1
5177766,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,23.75,"$3,381.26",Entire home/apt,1,1,2
28697793,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,22.68,"$4,133.98",Entire home/apt,1,2,2
15743774,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,22.88,$487.30,Entire home/apt,1,1,1
7147961,Australia,NSW,BALLINA SHIRE COUNCIL,House,24.56,"$4,644.90",Entire home/apt,1,3,3
23860542,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,22.42,"$3,352.75",Entire home/apt,1,2,3
32993672,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,21.51,"$1,944.99",Entire home/apt,1,2,3
31194781,Australia,NSW,BALLINA SHIRE COUNCIL,House,21.3,"$2,116.09",Entire home/apt,1,1,1
22872538,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,21.71,"$2,811.35",Entire home/apt,1,1,1
22267512,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,22.04,"$2,900.02",Entire home/apt,1,1,3
31177708,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,22.87,"$2,261.74",Entire home/apt,1,2,2
17943413,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,22.49,"$1,867.86",Private room,1,1,1
12053404,Australia,NSW,BALLINA SHIRE COUNCIL,House,26.71,"$4,667.27",Entire home/apt,1,3,6
23668217,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,23.27,"$2,911.63",Entire home/apt,1,2,2
23610320,Australia,NSW,BALLINA SHIRE COUNCIL,House,26.26,"$3,179.22",Entire home/apt,2.5,3,3
24922899,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,26.75,"$4,041.27",Entire home/apt,1,1,1
30110367,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,24.01,"$2,313.10",Entire home/apt,1,0,2
21179793,Australia,NSW,BALLINA SHIRE COUNCIL,House,21.08,"$3,503.70",Entire home/apt,1,1,1
23311596,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,23.84,"$3,438.51",Entire home/apt,1,0,1
22737294,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,22.57,"$5,187.64",Entire home/apt,1,0,1
28940121,Australia,NSW,BALLINA SHIRE COUNCIL,House,26.44,"$4,270.18",Entire home/apt,2,3,3
23294252,Australia,NSW,BALLINA SHIRE COUNCIL,House,27.06,"$1,992.19",Entire home/apt,2,3,3
14875226,Australia,NSW,BALLINA SHIRE COUNCIL,House,21.64,"$3,660.46",Entire home/apt,1,1,3
20040248,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,23.47,"$2,503.14",Entire home/apt,1,3,3
31008737,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,24.49,"$2,435.75",Entire home/apt,1,1,1
30824080,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,22.67,"$3,427.13",Entire home/apt,1,1,1
23470726,Australia,NSW,BALLINA SHIRE COUNCIL,House,26.38,"$4,471.19",Entire home/apt,2,2,2
30514036,Australia,NSW,BALLINA SHIRE COUNCIL,House,25.63,"$3,676.04",Entire home/apt,1,2,4
19335117,Australia,NSW,BALLINA SHIRE COUNCIL,House,26.73,"$4,204.02",Entire home/apt,2.5,4,5
11743983,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,23.1,"$2,645.96",Entire home/apt,1,1,1
21373955,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,22.8,"$3,181.77",Entire home/apt,1,0,1
5622967,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,24.15,"$3,772.56",Entire home/apt,1,1,2
11781126,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,22.75,"$3,127.01",Entire home/apt,1,2,2
16757055,Australia,NSW,BALLINA SHIRE COUNCIL,House,25.84,"$3,914.99",Entire home/apt,2,3,4
19831292,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,27.58,"$5,007.86",Entire home/apt,2,2,3
29597541,Australia,NSW,BALLINA SHIRE COUNCIL,House,27.44,"$1,389.12",Entire home/apt,2,3,3
20973038,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,27.06,"$4,003.94",Entire home/apt,1,1,1
16054025,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,25.43,"$3,637.31",Entire home/apt,1,3,4
2521456,Australia,NSW,BALLINA SHIRE COUNCIL,House,23.91,"$3,029.33",Private room,1,2,2
31725216,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,24.75,"$4,138.95",Entire home/apt,1,1,1
28127609,Australia,NSW,BALLINA SHIRE COUNCIL,House,23.91,"$3,862.25",Entire home/apt,2,2,2
22485768,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,23.95,"$4,286.94",Entire home/apt,1,1,1
33496183,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,24.41,"$3,412.37",Private room,1,2,2
29015914,Australia,NSW,BALLINA SHIRE COUNCIL,House,26.43,"$3,605.76",Entire home/apt,2,3,5
32458190,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,27.32,$689.75,Entire home/apt,1,2,3
30776990,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,25.24,"$4,698.64",Entire home/apt,2,3,4
32926480,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,28.24,"$3,169.28",Entire home/apt,1,0,1
30824064,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,25.28,"$2,958.02",Entire home/apt,1,1,1
29264850,Australia,NSW,BALLINA SHIRE COUNCIL,House,30.25,"$8,063.47",Entire home/apt,2,3,3
23062742,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,26.27,"$3,152.38",Private room,1,1,2
19256406,Australia,NSW,BALLINA SHIRE COUNCIL,House,27.74,"$3,479.10",Private room,1,2,3
17499186,Australia,NSW,BALLINA SHIRE COUNCIL,House,28.04,"$4,216.94",Entire home/apt,3,3,3
21384984,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,25.98,"$2,568.78",Entire home/apt,2,1,2
17530393,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,24,"$3,485.89",Entire home/apt,2,1,1
22752258,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,27.33,"$4,240.62",Entire home/apt,1,1,1
17794437,Australia,New South Wales,BALLINA SHIRE COUNCIL,Apartment,28.5,"$4,011.90",Entire home/apt,1,1,1
28591264,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,28.7,"$3,358.28",Entire home/apt,1,1,1
16530860,Australia,NSW,BALLINA SHIRE COUNCIL,House,26.4,"$3,070.30",Entire home/apt,2,2,2
31132884,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,23.44,"$3,781.37",Entire home/apt,1,1,1
5163899,Australia,NSW,BALLINA SHIRE COUNCIL,House,24.46,"$3,255.62",Entire home/apt,2.5,3,3
31571822,Australia,,BALLINA SHIRE COUNCIL,House,25.87,"$1,648.09",Entire home/apt,1,2,3
20196357,Australia,NSW,BALLINA SHIRE COUNCIL,House,27.19,"$5,577.91",Entire home/apt,1.5,4,5
33024129,Australia,NSW,BALLINA SHIRE COUNCIL,House,23.62,"$2,617.25",Entire home/apt,1,1,1
30964165,Australia,NSW,BALLINA SHIRE COUNCIL,House,28.25,"$1,312.15",Private room,1,1,1
33535366,Australia,NSW,BALLINA SHIRE COUNCIL,House,26.1,"$3,079.26",Entire home/apt,1,1,2
4078002,Australia,NSW,BALLINA SHIRE COUNCIL,House,25.22,"$4,560.93",Entire home/apt,2,4,7
2406659,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,27.95,"$2,392.55",Entire home/apt,1,2,2
8132438,Australia,NSW,BALLINA SHIRE COUNCIL,House,27.53,"$3,244.38",Entire home/apt,2,2,3
22053740,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,31.43,"$6,216.93",Entire home/apt,1,2,2
19911991,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,24.22,"$2,599.74",Entire home/apt,2,3,4
32595129,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,28.77,"$4,417.11",Entire home/apt,1,1,1
30697417,Australia,,BALLINA SHIRE COUNCIL,House,31.72,"$2,807.40",Entire home/apt,2,2,3
28056773,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,23.46,"$1,974.73",Entire home/apt,1,0,1
30802888,Australia,NSW,BALLINA SHIRE COUNCIL,House,25.18,"$5,116.81",Entire home/apt,1,1,1
22192023,Australia,NSW,BALLINA SHIRE COUNCIL,House,28.38,"$3,725.78",Private room,1.5,2,3
32244522,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,27.85,"$2,877.90",Entire home/apt,1,1,1
4646286,Australia,NSW,BALLINA SHIRE COUNCIL,House,24.06,"$3,684.95",Entire home/apt,1,2,2
27232433,Australia,NSW,BALLINA SHIRE COUNCIL,House,24.21,"$3,574.14",Entire home/apt,2.5,3,3
29405088,Australia,NSW,BALLINA SHIRE COUNCIL,Loft,25.9,"$2,727.15",Entire home/apt,1,1,1
30185550,Australia,NSW,BALLINA SHIRE COUNCIL,House,27.5,"$3,565.57",Entire home/apt,2,4,5
8581503,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,30.02,"$2,811.78",Entire home/apt,1,2,2
15437061,Australia,NSW,BALLINA SHIRE COUNCIL,House,29.03,"$2,791.32",Entire home/apt,1,3,4
29947774,Australia,NSW,BALLINA SHIRE COUNCIL,House,30.44,"$4,920.37",Entire home/apt,1,2,2
21114489,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,27.19,"$4,073.96",Entire home/apt,1,1,1
26874979,Australia,NSW,BALLINA SHIRE COUNCIL,House,26.51,"$5,310.29",Entire home/apt,2,3,6
21345931,Australia,NSW,BALLINA SHIRE COUNCIL,House,34.1,"$4,657.93",Entire home/apt,2,3,3
17967737,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,32.06,"$2,834.04",Entire home/apt,1,2,3
16137090,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,27.11,"$2,949.58",Entire home/apt,1,1,2
29764809,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,34.41,"$4,677.12",Entire home/apt,1,1,2
23984416,Australia,NSW,BALLINA SHIRE COUNCIL,House,31.4,"$4,102.65",Entire home/apt,2.5,2,2
18254182,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,29.04,"$1,815.56",Entire home/apt,2,3,3
26673351,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,26.92,"$4,237.06",Entire home/apt,1,2,2
12523903,Australia,NSW,BALLINA SHIRE COUNCIL,Loft,33,"$4,342.56",Entire home/apt,1,1,1
30098089,Australia,NSW,BALLINA SHIRE COUNCIL,House,33.12,"$3,717.54",Entire home/apt,2.5,5,6
23633402,Australia,NSW,BALLINA SHIRE COUNCIL,House,27.68,"$2,902.61",Entire home/apt,1,1,1
15793424,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,25.56,"$3,847.11",Entire home/apt,1,1,2
29065279,Australia,NSW,BALLINA SHIRE COUNCIL,House,30.33,"$4,772.05",Entire home/apt,2.5,5,6
26928490,Australia,NSW,BALLINA SHIRE COUNCIL,House,35.71,"$6,212.27",Entire home/apt,2,3,3
10078915,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,33.7,"$5,121.16",Entire home/apt,1,1,2
21843205,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,33.57,"$3,158.47",Entire home/apt,1,2,2
9050232,Australia,NSW,BALLINA SHIRE COUNCIL,House,28.64,"$5,059.59",Entire home/apt,1,2,2
29130916,Australia,NSW,BALLINA SHIRE COUNCIL,House,27.64,"$2,482.00",Entire home/apt,1.5,3,4
917015,Australia,NSW,BALLINA SHIRE COUNCIL,House,36.97,"$4,867.68",Entire home/apt,3,4,4
8907191,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,29.4,"$2,401.14",Entire home/apt,2,3,4
12813063,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,28.91,"$4,695.93",Entire home/apt,1,2,2
18921400,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,32.58,"$5,333.26",Entire home/apt,3,4,6
30779619,Australia,NSW,BALLINA SHIRE COUNCIL,Camper/RV,29.7,"$4,269.41",Entire home/apt,0,0,2
23946212,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,30.61,"$4,569.44",Entire home/apt,1,1,1
11955991,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,25.77,"$3,078.07",Entire home/apt,1.5,1,2
29767849,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,32.32,"$5,319.33",Entire home/apt,2,2,3
29783942,Australia,NSW,BALLINA SHIRE COUNCIL,House,34.06,"$5,272.44",Entire home/apt,1.5,1,2
18879998,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,34.72,"$2,527.73",Entire home/apt,1,2,2
